SPGTable,,,,,,,,,,,,,
Entity Name,Entity ID,Exchange,SP_SECTOR,Market Capitalization ($M),CIQ EPS Est - # of Est (actual),EPS_FY+1_Current,EPS_FY+1_1M_ago,EPS_FY+1_3M_ago,EPS_MEDIAN_EST,EPS_HIGH_EST,EPS_LOW_EST,EPS_SURPRISE,AS_OF
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE,,SP_MARKETCAP,SP_EPS_NUM_EST,,,,,,,,
,,,,Current,FY+1,,,,,,,,
"Amkor Technology, Inc. (NASDAQGS:AMKR)",4164998,NASDAQGS,Information Technology,"10,290.53",6,1.74,1.26,1.25,1.72,1.98,1.59,19.05,06/03/2026
"Amneal Pharmaceuticals, Inc. (NASDAQGS:AMRX)",5139125,NASDAQGS,Health Care,"4,165.69",5,0.96,0.80,0.80,0.99,1.00,0.86,3.75,06/03/2026
Amphenol Corporation (NYSE:APH),4122605,NYSE,Information Technology,"162,096.57",18,4.38,4.39,3.31,4.37,4.88,4.04,0.91,06/03/2026
"Amprius Technologies, Inc. (NYSE:AMPX)",6459368,NYSE,Industrials,"2,196.98",8,-0.07,-0.21,-0.20,-0.06,-0.02,-0.14,-66.67,06/03/2026
"Amylyx Pharmaceuticals, Inc. (NASDAQGS:AMLX)",5308980,NASDAQGS,Health Care,"1,530.94",8,-1.38,-1.54,-1.58,-1.38,-0.86,-1.62,0.00,06/03/2026
"Analog Devices, Inc. (NASDAQGS:ADI)",4113211,NASDAQGS,Information Technology,"154,179.75",28,11.45,9.99,9.89,11.45,11.88,11.11,0.26,06/03/2026
"AnaptysBio, Inc. (NASDAQGS:ANAB)",4898489,NASDAQGS,Health Care,"1,592.94",7,-4.46,-1.45,-1.47,-4.75,-2.04,-6.65,68.28,06/03/2026
AngloGold Ashanti plc (NYSE:AU),4209952,NYSE,Materials,"53,804.28",6,9.25,5.52,5.27,9.15,11.93,7.23,-2.72,06/03/2026
"ANI Pharmaceuticals, Inc. (NASDAQGM:ANIP)",4811734,NASDAQGM,Health Care,"1,545.74",7,9.06,7.54,7.50,9.06,9.30,8.81,4.92,06/03/2026
"Annaly Capital Management, Inc. (NYSE:NLY)",113558,NYSE,Financials,"16,099.05",11,2.96,2.99,2.91,2.98,3.04,2.83,0.34,06/03/2026
Antero Midstream Corporation (NYSE:AM),4909522,NYSE,Energy,"10,866.67",5,1.12,1.00,1.00,1.10,1.19,1.09,-14.00,06/03/2026
Antero Resources Corporation (NYSE:AR),4166271,NYSE,Energy,"11,980.03",16,3.27,1.84,1.78,3.35,4.51,2.25,-6.52,06/03/2026
Aon plc (NYSE:AON),103317,NYSE,Financials,"72,975.08",22,19.09,19.09,16.99,19.09,19.75,18.43,0.59,06/03/2026
APA Corporation (NASDAQGS:APA),4010203,NASDAQGS,Energy,"11,544.26",20,1.89,3.52,3.59,1.92,2.70,1.10,7.71,06/03/2026
"Apellis Pharmaceuticals, Inc. (NASDAQGS:APLS)",5198313,NASDAQGS,Health Care,"2,565.55",19,-1.13,0.26,0.26,-1.10,-0.36,-2.19,-23.08,06/03/2026
APi Group Corporation (NYSE:APG),8313471,NYSE,Industrials,"18,065.07",12,1.66,1.46,1.45,1.67,1.72,1.57,2.07,06/03/2026
"Apogee Therapeutics, Inc. (NASDAQGM:APGE)",108515356,NASDAQGM,Health Care,"5,029.32",12,-4.62,-4.20,-4.21,-4.53,-4.20,-5.31,-0.48,06/03/2026
"Apollo Global Management, Inc. (NYSE:APO)",4204256,NYSE,Financials,"62,855.49",19,9.25,7.95,7.99,9.26,9.50,8.95,5.41,06/03/2026
"AppFolio, Inc. (NASDAQGM:APPF)",4971373,NASDAQGM,Information Technology,"6,880.19",7,6.56,6.56,5.14,6.60,6.90,6.22,2.52,06/03/2026
Appian Corporation (NASDAQGM:APPN),4282243,NASDAQGM,Information Technology,"1,968.81",7,0.89,0.54,0.54,0.88,0.92,0.86,12.96,06/03/2026
"Apple Hospitality REIT, Inc. (NYSE:APLE)",4187996,NYSE,Real Estate,"2,860.90",3,0.68,0.71,0.71,0.66,0.71,0.66,4.23,06/03/2026
Apple Inc. (NASDAQGS:AAPL),4004205,NASDAQGS,Information Technology,"3,779,806.30",40,8.50,8.48,8.27,8.49,8.97,8.15,0.95,06/03/2026
Applied Digital Corporation (NASDAQGS:APLD),4992232,NASDAQGS,Information Technology,"7,026.27",7,-0.37,-0.37,-0.45,-0.32,-0.27,-0.62,1.69,06/03/2026
"Applied Industrial Technologies, Inc. (NYSE:AIT)",4993561,NYSE,Industrials,"9,988.85",8,10.67,10.67,10.67,10.65,10.75,10.60,1.71,06/03/2026
"Applied Materials, Inc. (NASDAQGS:AMAT)",4073928,NASDAQGS,Information Technology,"257,716.87",32,11.05,9.66,9.46,11.02,11.51,10.22,0.86,06/03/2026
"Applied Optoelectronics, Inc. (NASDAQGM:AAOI)",4966942,NASDAQGM,Information Technology,"7,183.74",5,0.90,-0.38,-0.38,0.80,1.18,0.61,31.58,06/03/2026
AppLovin Corporation (NASDAQGS:APP),5256437,NASDAQGS,Information Technology,"169,360.77",21,15.74,9.36,9.35,15.60,17.62,14.32,4.17,06/03/2026
"AptarGroup, Inc. (NYSE:ATR)",4982603,NYSE,Materials,"8,503.28",8,5.55,5.56,5.72,5.50,5.85,5.23,0.53,06/03/2026
Aptiv PLC (NYSE:APTV),4306801,NYSE,Consumer Discretionary,"15,466.81",21,8.38,8.43,7.71,8.41,8.70,7.80,0.26,06/03/2026
Aramark (NYSE:ARMK),4019141,NYSE,Consumer Discretionary,"10,579.15",15,2.22,2.22,2.21,2.22,2.33,2.16,-4.21,06/03/2026
"Arbor Realty Trust, Inc. (NYSE:ABR)",4090388,NYSE,Financials,"1,678.17",5,0.45,0.61,0.59,0.39,0.99,0.02,-8.20,06/03/2026
ArcBest Corporation (NASDAQGS:ARCB),4994138,NASDAQGS,Industrials,"2,079.75",13,4.48,4.48,3.75,4.55,5.05,3.70,-1.33,06/03/2026
"Arcellx, Inc. (NASDAQGS:ACLX)",5306107,NASDAQGS,Health Care,"6,686.00",11,-3.19,-4.02,-4.11,-3.60,-0.24,-4.77,-1.75,06/03/2026
Arch Capital Group Ltd. (NASDAQGS:ACGL),103577,NASDAQGS,Financials,"34,450.53",20,9.38,9.42,9.21,9.34,9.95,8.85,4.46,06/03/2026
Archer Aviation Inc. (NYSE:ACHR),22112739,NYSE,Industrials,"4,660.81",2,-1.04,-0.83,-0.83,-1.04,-0.87,-1.22,24.10,06/03/2026
Archer-Daniels-Midland Company (NYSE:ADM),4044801,NYSE,Consumer Staples,"32,452.25",12,4.01,4.06,3.50,4.01,4.59,3.70,1.48,06/03/2026
"Archrock, Inc. (NYSE:AROC)",4121009,NYSE,Energy,"6,179.09",3,1.88,1.56,1.57,1.88,1.89,1.87,17.31,06/03/2026
Arcos Dorados Holdings Inc. (NYSE:ARCO),4911029,NYSE,Consumer Discretionary,"1,672.66",7,0.77,0.70,0.64,0.58,1.11,0.47,9.23,06/03/2026
"Arcosa, Inc. (NYSE:ACA)",10660585,NYSE,Industrials,"5,369.83",4,4.91,4.22,4.23,4.89,5.20,4.66,5.92,06/03/2026
"Arcus Biosciences, Inc. (NYSE:RCUS)",5323904,NYSE,Health Care,"2,771.48",3,-4.15,-3.50,-3.63,-4.13,-3.66,-4.66,6.00,06/03/2026
"Arcutis Biotherapeutics, Inc. (NASDAQGS:ARQT)",9768877,NASDAQGS,Health Care,"2,976.80",7,0.37,-0.14,-0.15,0.45,0.75,0.08,7.14,06/03/2026
